iter	Passed	Remaining
741	988	343
742	989	342
743	990	340
744	991	339
745	992	337
746	992	336
747	993	334
748	994	333
749	995	331
750	996	330
751	997	328
752	998	327
753	999	326
754	1000	324
755	1001	323
756	1001	321
757	1002	320
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1006	312
763	1007	311
764	1008	309
765	1009	308
766	1010	306
767	1011	305
768	1011	303
769	1012	302
770	1014	301
771	1015	299
772	1015	298
773	1016	296
774	1017	295
775	1018	293
776	1019	292
777	1020	291
778	1021	289
779	1021	288
780	1022	286
781	1023	285
782	1024	284
783	1025	282
784	1026	281
785	1027	279
786	1028	278
787	1029	277
788	1030	275
789	1031	274
790	1032	272
791	1033	271
792	1033	269
793	1035	268
794	1035	267
795	1036	265
796	1037	264
797	1038	262
798	1039	261
799	1040	260
800	1041	258
801	1042	257
802	1043	255
803	1044	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1049	247
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1058	237
817	1059	235
818	1060	234
819	1061	233
820	1062	231
821	1063	230
822	1064	228
823	1064	227
824	1065	226
825	1066	224
826	1067	223
827	1068	221
828	1069	220
829	1071	219
830	1072	218
831	1072	216
832	1073	215
833	1074	213
834	1075	212
835	1076	211
836	1077	209
837	1078	208
838	1079	207
839	1080	205
840	1082	204
841	1082	203
842	1083	201
843	1084	200
844	1085	199
845	1086	197
846	1087	196
847	1088	195
848	1089	193
849	1090	192
850	1091	191
851	1092	189
852	1093	188
853	1093	187
854	1094	185
855	1095	184
856	1096	183
857	1097	181
858	1098	180
859	1099	178
860	1100	177
861	1101	176
862	1102	174
863	1103	173
864	1104	172
865	1105	170
866	1105	169
867	1106	168
868	1107	166
869	1108	165
870	1109	164
871	1110	163
872	1111	161
873	1112	160
874	1113	159
875	1114	157
876	1115	156
877	1116	155
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1121	148
883	1122	147
884	1123	145
885	1123	144
886	1124	143
887	1125	141
888	1126	140
889	1127	139
890	1128	138
891	1129	136
892	1130	135
893	1130	134
894	1131	132
895	1132	131
896	1133	130
897	1134	128
898	1135	127
899	1136	126
900	1137	124
901	1139	123
902	1140	122
903	1141	121
904	1141	119
905	1142	118
906	1144	117
907	1145	116
908	1145	114
909	1146	113
910	1147	112
911	1148	110
912	1149	109
913	1150	108
914	1151	106
915	1152	105
916	1154	104
917	1155	103
918	1156	101
919	1157	100
920	1157	99
921	1158	98
922	1159	96
923	1160	95
924	1161	94
925	1162	92
926	1163	91
927	1164	90
928	1165	89
929	1166	87
930	1167	86
931	1168	85
932	1169	83
933	1170	82
934	1171	81
935	1172	80
936	1173	78
937	1174	77
938	1175	76
939	1176	75
940	1177	73
941	1177	72
942	1178	71
943	1179	69
944	1180	68
945	1181	67
946	1182	66
947	1183	64
948	1184	63
949	1185	62
950	1186	61
951	1187	59
952	1188	58
953	1189	57
954	1190	56
955	1191	54
956	1192	53
957	1193	52
958	1194	51
959	1195	49
960	1196	48
961	1197	47
962	1198	46
963	1198	44
964	1199	43
965	1200	42
966	1201	41
967	1202	39
968	1203	38
969	1219	37
970	1220	36
971	1221	35
972	1222	33
973	1223	32
974	1224	31
975	1225	30
976	1226	28
977	1226	27
978	1227	26
979	1228	25
980	1229	23
981	1230	22
982	1231	21
983	1232	20
984	1232	18
985	1233	17
986	1234	16
987	1235	15
988	1236	13
989	1237	12
990	1238	11
991	1239	9
992	1240	8
993	1241	7
994	1242	6
